PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.375,0,0,0,0,0,0,0,0,2015,Jul,Sept
BROOKLYN BOTANIC GARDEN,BROOKLYN     ,47.57,0,0,0,0,0,0,0,0,2015,Jul,Sept
MEREDITH WOODS,STATEN ISLAND,47.521,0,0,0,0,0,0,0,0,2015,Jul,Sept
QUEENS FARM PARK,QUEENS       ,47.08,0,0,0,0,0,0,0,0,2015,Jul,Sept
EAST RIVER PARK,MANHATTAN    ,45.88,0,1,0,1,0,0,0,2,2015,Jul,Sept
CROCHERON PARK,QUEENS       ,45.79,0,0,0,0,0,0,0,0,2015,Jul,Sept
MACOMBS DAM PARK,BRONX        ,44.174,0,0,2,0,0,4,0,6,2015,Jul,Sept
MANHATTAN BEACH PARK,BROOKLYN     ,42.941,0,0,0,0,0,1,0,1,2015,Jul,Sept
UDALL'S PARK PRESERVE,QUEENS       ,42.768,0,0,0,0,0,0,0,0,2015,Jul,Sept
FAIRVIEW PARK,STATEN ISLAND,42.6,0,0,0,0,0,0,0,0,2015,Jul,Sept
BAYSWATER PARK,QUEENS       ,40.07,0,0,0,0,0,0,0,0,2015,Jul,Sept
DEERE PARK,STATEN ISLAND,39.779,0,0,0,0,0,0,0,0,2015,Jul,Sept
PARADE GROUND,BROOKLYN     ,39.5,0,0,1,0,0,2,0,3,2015,Jul,Sept
CLAREMONT PARK,BRONX        ,38.536,0,0,0,5,0,2,0,7,2015,Jul,Sept
BROAD CHANNEL WETLANDS,QUEENS       ,37.95,0,0,0,0,0,0,0,0,2015,Jul,Sept
CONEY ISLAND BOAT BASIN,BROOKLYN     ,36.81,0,0,0,0,0,0,0,0,2015,Jul,Sept
BUNKER PONDS PARK,STATEN ISLAND,36.691,0,0,0,0,0,0,0,0,2015,Jul,Sept
SETON FALLS PARK,BRONX        ,35.771,0,0,0,0,0,1,0,1,2015,Jul,Sept
MCCARREN PARK,BROOKLYN     ,35.713,0,0,1,1,0,5,0,7,2015,Jul,Sept
ST. MARY'S PARK BRONX,BRONX        ,35.311,0,0,3,0,1,1,0,5,2015,Jul,Sept
SHOOTERS ISLAND,STATEN ISLAND,34.689,0,0,0,0,0,0,0,0,2015,Jul,Sept
NORTH BROTHER ISLAND,BRONX        ,30.395,0,0,0,0,0,0,0,0,2015,Jul,Sept
FORT GREENE PARK,BROOKLYN     ,30.168,0,0,0,1,0,1,0,2,2015,Jul,Sept
BATTERY PARK CITY,MANHATTAN    ,29.99,0,0,0,0,0,0,0,0,2015,Jul,Sept
MORNINGSIDE PARK,MANHATTAN    ,29.888,0,0,1,0,0,1,0,2,2015,Jul,Sept
MACNEIL PARK,QUEENS       ,28.87,0,0,0,0,0,0,0,0,2015,Jul,Sept
ALLEY ATHLETIC PLAYGROUND,QUEENS       ,27.531,0,0,0,0,0,0,0,0,2015,Jul,Sept
VERNAM BARBADOES PENINSULA,QUEENS       ,27.484,0,0,0,0,0,0,0,0,2015,Jul,Sept
COLLEGE POINT FIELDS,QUEENS       ,26.83,0,0,0,0,0,0,0,0,2015,Jul,Sept
KAISER PARK,BROOKLYN     ,26.257,0,0,0,0,0,0,0,0,2015,Jul,Sept
SUNSET PARK,BROOKLYN     ,24.498,0,0,0,1,0,6,0,7,2015,Jul,Sept
OWL'S HEAD PARK,BROOKLYN     ,24.218,0,0,0,0,0,1,0,1,2015,Jul,Sept
SPRINGFIELD PARK,QUEENS       ,23.543,0,0,0,0,0,0,0,0,2015,Jul,Sept
RECREATIONAL AREA,MANHATTAN    ,23.093,0,0,0,0,0,0,0,0,2015,Jul,Sept
KING FISHER PARK,STATEN ISLAND,23.01,0,0,0,0,0,0,0,0,2015,Jul,Sept
SIEDENBURG PARK,STATEN ISLAND,22.882,0,0,0,0,0,0,0,0,2015,Jul,Sept
ST. NICHOLAS PARK,MANHATTAN    ,22.74,0,0,3,1,0,0,0,4,2015,Jul,Sept
SOUTH BROTHER ISLAND,BRONX        ,22.16,0,0,0,0,0,0,0,0,2015,Jul,Sept
LOCUST POINT MARINA,BRONX        ,22.07,0,0,0,0,0,0,0,0,2015,Jul,Sept
BATTERY PARK,MANHATTAN    ,21.88,0,0,0,1,0,1,0,2,2015,Jul,Sept
BROOKLYN BRIDGE PARK,BROOKLYN     ,21.185,0,0,0,0,0,2,0,2,2015,Jul,Sept
ASSER LEVY PARK,BROOKLYN     ,21.039,0,0,0,0,0,0,0,0,2015,Jul,Sept
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.907,0,0,0,0,0,0,0,0,2015,Jul,Sept
WAVE HILL,BRONX        ,20.867,0,0,0,0,0,0,0,0,2015,Jul,Sept
QUEENSBRIDGE PARK,QUEENS       ,20.34,0,0,0,2,0,0,0,2,2015,Jul,Sept
MARCUS GARVEY PARK,MANHATTAN    ,20.165,0,0,1,4,0,0,0,5,2015,Jul,Sept
ISHAM PARK,MANHATTAN    ,20.132,0,0,0,0,0,0,0,0,2015,Jul,Sept
WILLIAMSBRIDGE OVAL,BRONX        ,19.749,0,0,3,0,0,2,0,5,2015,Jul,Sept
BRANT POINT WILDLIFE SANCTUARY,QUEENS       ,19.556,0,0,0,0,0,0,0,0,2015,Jul,Sept
BROAD CHANNEL AMERICAN PARK,QUEENS       ,18.768,0,0,0,0,0,0,0,0,2015,Jul,Sept
THEODORE ROOSEVELT PARK,MANHATTAN    ,17.574,0,0,0,0,0,0,0,0,2015,Jul,Sept
BENSONHURST PARK,BROOKLYN     ,17.5,0,0,0,0,0,0,0,0,2015,Jul,Sept
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN     ,17.14,0,0,1,0,0,1,0,2,2015,Jul,Sept
JOHN GOLDEN PARK,QUEENS       ,17,0,0,0,0,0,0,0,0,2015,Jul,Sept
BAYVIEW TERRACE PARK,STATEN ISLAND,16.944,0,0,0,0,0,0,0,0,2015,Jul,Sept
JONES WOODS PARK,STATEN ISLAND,16.93,0,0,0,0,0,0,0,0,2015,Jul,Sept
FRANCIS LEWIS PARK,QUEENS       ,16.831,0,0,0,0,0,0,0,0,2015,Jul,Sept
LEIF ERICSON PARK,BROOKLYN     ,16.8,0,0,0,0,0,1,0,1,2015,Jul,Sept
EIBS POND PARK,STATEN ISLAND,16.505,0,0,0,0,0,0,0,0,2015,Jul,Sept
RAILROAD PARK QUEENS,QUEENS       ,16.439,0,0,0,0,0,0,0,0,2015,Jul,Sept
BREUKELEN BALLFIELDS,BROOKLYN     ,16.16,0,0,0,0,0,0,0,0,2015,Jul,Sept
FRANZ SIGEL PARK,BRONX        ,15.99,0,0,0,6,0,1,0,7,2015,Jul,Sept
ALICE AUSTEN PARK,STATEN ISLAND,15.524,0,0,0,0,0,0,0,0,2015,Jul,Sept
THOMAS JEFFERSON PARK,MANHATTAN    ,15.524,0,0,0,0,0,2,0,2,2015,Jul,Sept
MILL POND PARK,BRONX        ,15.496,0,0,0,0,0,0,0,0,2015,Jul,Sept
SHERMAN CREEK,MANHATTAN    ,15.383,0,0,0,0,0,0,0,0,2015,Jul,Sept
HARRIS PARK,BRONX        ,15.32,0,0,0,0,0,0,0,0,2015,Jul,Sept
GOODHUE,STATEN ISLAND,15.064,0,0,0,0,0,0,0,0,2015,Jul,Sept
MULLALY PARK,BRONX        ,15.049,0,0,2,1,0,4,0,7,2015,Jul,Sept
TREMONT PARK,BRONX        ,15,0,0,0,0,0,0,0,0,2015,Jul,Sept
CARL SCHURZ PARK,MANHATTAN    ,14.938,0,0,0,0,0,0,0,0,2015,Jul,Sept
GRAND ARMY PLAZA BROOKLYN,BROOKLYN     ,14.257,0,0,1,0,0,0,0,1,2015,Jul,Sept
