PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
VON BRIESEN PARK,STATEN ISLAND,13.938,0,0,0,0,0,0,0,0,2015,Jul,Sept
MOTOR PARKWAY,QUEENS       ,13.894,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS       ,13.826,0,0,0,0,0,0,0,0,2015,Jul,Sept
BEACH 17 PLAYGROUND,QUEENS       ,13.75,0,0,0,0,0,0,0,0,2015,Jul,Sept
TUDOR PARK,QUEENS       ,13.543,0,0,0,0,0,0,0,0,2015,Jul,Sept
AQUEDUCT WALK,BRONX        ,13.533,0,0,0,0,0,0,0,0,2015,Jul,Sept
FATHER MACRIS PARK,STATEN ISLAND,13.469,0,0,0,0,0,0,0,0,2015,Jul,Sept
STARLIGHT PARK,BRONX        ,12.93,0,0,1,0,0,0,0,1,2015,Jul,Sept
JACKIE ROBINSON PARK MANHATTAN,MANHATTAN    ,12.772,0,0,2,0,0,0,0,2,2015,Jul,Sept
BROOKLYN MUSEUM,BROOKLYN     ,12.66,0,0,0,0,0,1,0,1,2015,Jul,Sept
BEACH CHANNEL PARK,QUEENS       ,12.624,0,0,0,0,0,0,0,0,2015,Jul,Sept
GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,12.247,0,0,0,0,0,0,0,0,2015,Jul,Sept
BOWNE PARK,QUEENS       ,11.788,0,0,0,0,0,2,0,2,2015,Jul,Sept
SETON PARK,BRONX        ,11.689,0,0,0,0,0,0,0,0,2015,Jul,Sept
RUFUS KING PARK,QUEENS       ,11.5,0,0,0,0,0,0,0,0,2015,Jul,Sept
FRANK GOLDEN PARK,QUEENS       ,11.422,0,0,0,0,0,1,0,1,2015,Jul,Sept
ST. JAMES PARK,BRONX        ,11.39,0,0,0,0,0,0,0,0,2015,Jul,Sept
RICHMOND TERRACE WETLANDS,STATEN ISLAND,11.193,0,0,0,0,0,0,0,0,2015,Jul,Sept
BARRETTO POINT PARK,BRONX        ,11.161,0,0,0,0,0,0,0,0,2015,Jul,Sept
ST. ALBANS PARK,QUEENS       ,10.79,0,0,0,0,0,0,0,0,2015,Jul,Sept
GEMINI FIELDS,QUEENS       ,10.761,0,0,0,0,0,0,0,0,2015,Jul,Sept
GIVANS CREEK WOODS,BRONX        ,10.735,0,0,0,0,0,0,0,0,2015,Jul,Sept
BETSY HEAD PARK,BROOKLYN     ,10.555,0,0,1,0,0,0,0,1,2015,Jul,Sept
TOMPKINS SQUARE PARK,MANHATTAN    ,10.502,0,0,0,0,0,1,0,1,2015,Jul,Sept
CPL. THOMPSON PARK,STATEN ISLAND,10.5,0,0,0,0,0,0,0,0,2015,Jul,Sept
COMMODORE BARRY PARK,BROOKLYN     ,10.391,0,0,0,1,0,0,0,1,2015,Jul,Sept
CADMAN PLAZA PARK,BROOKLYN     ,10.384,0,0,0,0,0,0,0,0,2015,Jul,Sept
BROADWAY MALLS,MANHATTAN    ,10.242,0,0,0,0,0,0,0,0,2015,Jul,Sept
STEEPLECHASE PARK,BROOKLYN     ,10.01,0,0,0,0,0,0,0,0,2015,Jul,Sept
HUNTER'S POINT SOUTH PARK,QUEENS       ,10,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,9.934,0,0,0,0,0,0,0,0,2015,Jul,Sept
HYBRID OAK WOODS PARK,STATEN ISLAND,9.763,0,0,0,0,0,0,0,0,2015,Jul,Sept
WASHINGTON SQUARE PARK,MANHATTAN    ,9.749,0,0,0,0,0,1,0,1,2015,Jul,Sept
BRYANT PARK,MANHATTAN    ,9.603,0,0,0,0,1,3,0,4,2015,Jul,Sept
ROCKAWAY FREEWAY,QUEENS       ,9.404,0,0,0,0,0,0,0,0,2015,Jul,Sept
BICENTENNIAL VETERANS MEMORIAL PARK,BRONX        ,9.395,0,0,0,0,0,0,0,0,2015,Jul,Sept
SUNSET COVE PARK,QUEENS       ,9.375,0,0,0,0,0,0,0,0,2015,Jul,Sept
ST. JOHN'S RECREATION CENTER,BROOKLYN     ,9.339,0,0,0,0,0,0,0,0,2015,Jul,Sept
LINDEN PARK,BROOKLYN     ,9.322,0,0,0,0,0,0,0,0,2015,Jul,Sept
HAFFEN PARK,BRONX        ,9.238,0,0,0,1,0,0,0,1,2015,Jul,Sept
ALLISON POND PARK,STATEN ISLAND,9.2,0,0,0,0,0,0,0,0,2015,Jul,Sept
GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.187,0,0,0,0,0,0,0,0,2015,Jul,Sept
TOTTENVILLE SHORE PARK,STATEN ISLAND,9.181,0,0,0,0,0,0,0,0,2015,Jul,Sept
CAPTAIN TILLY PARK,QUEENS       ,9.16,0,0,0,0,0,0,0,0,2015,Jul,Sept
HARVEY PARK,QUEENS       ,9.154,0,0,0,0,0,0,0,0,2015,Jul,Sept
MSGR. MCGOLRICK PARK,BROOKLYN     ,9.134,0,0,0,0,0,0,0,0,2015,Jul,Sept
BUSHWICK INLET PARK,BROOKLYN     ,9.01,0,0,0,0,0,0,0,0,2015,Jul,Sept
HENRY HUDSON PARK,BRONX        ,8.972,0,0,0,0,0,0,0,0,2015,Jul,Sept
FRANK PRINCIPE PARK,QUEENS       ,8.899,0,0,0,0,0,0,0,0,2015,Jul,Sept
CASTLE HILL PARK,BRONX        ,8.834,0,0,0,0,0,0,0,0,2015,Jul,Sept
ROCHDALE PARK,QUEENS       ,8.833,0,0,0,0,0,0,0,0,2015,Jul,Sept
ABE STARK SKATING RINK,BROOKLYN     ,8.807,0,0,0,0,0,0,0,0,2015,Jul,Sept
CITY HALL PARK,MANHATTAN    ,8.8,0,0,0,0,0,0,0,0,2015,Jul,Sept
EAST RIVER WATERFRONT ESPLANADE,MANHATTAN    ,8.761,0,0,0,0,0,1,0,1,2015,Jul,Sept
CROTONA PARKWAY MALLS,BRONX        ,8.75,0,0,0,0,0,0,0,0,2015,Jul,Sept
CONEY ISLAND CREEK PARK,BROOKLYN     ,8.663,0,0,0,0,0,0,0,0,2015,Jul,Sept
MILL ROCK PARK,MANHATTAN    ,8.639,0,0,0,0,0,0,0,0,2015,Jul,Sept
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN    ,8.595,0,0,1,0,0,0,0,1,2015,Jul,Sept
JOHN J CARTY PARK,BROOKLYN     ,8.565,0,0,0,0,0,0,0,0,2015,Jul,Sept
COFFEY PARK,BROOKLYN     ,8.271,0,0,0,0,0,0,0,0,2015,Jul,Sept
BARRETT PARK,STATEN ISLAND,8.108,0,0,0,0,0,0,0,0,2015,Jul,Sept
RAINEY PARK QUEENS,QUEENS       ,8.09,0,0,0,0,0,0,0,0,2015,Jul,Sept
LAGUARDIA LANDING LIGHTS,QUEENS       ,8.03,0,0,0,0,0,0,0,0,2015,Jul,Sept
CITY ISLAND WETLANDS,BRONX        ,8.005,0,0,0,0,0,0,0,0,2015,Jul,Sept
SARA D. ROOSEVELT PARK,MANHATTAN    ,7.85,0,0,1,1,0,4,0,6,2015,Jul,Sept
EWEN PARK,BRONX        ,7.84,0,0,0,0,0,0,0,0,2015,Jul,Sept
HERBERT VON KING PARK,BROOKLYN     ,7.819,0,0,0,2,0,2,0,4,2015,Jul,Sept
MOUNT PROSPECT PARK,BROOKLYN     ,7.79,0,0,0,2,0,0,0,2,2015,Jul,Sept
RAINEY PARK BRONX,BRONX        ,7.738,0,0,1,3,0,0,0,4,2015,Jul,Sept
DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,7.683,0,0,0,0,0,0,0,0,2015,Jul,Sept
FLUSHING FIELDS,QUEENS       ,7.671,0,0,0,0,0,0,0,0,2015,Jul,Sept
PALMER INLET,BRONX        ,7.49,0,0,0,0,0,0,0,0,2015,Jul,Sept
MIDLAND FIELD,STATEN ISLAND,7.463,0,0,0,0,0,0,0,0,2015,Jul,Sept
SCHMUL PARK,STATEN ISLAND,7.395,0,0,0,0,0,0,0,0,2015,Jul,Sept
BRIDGE PARK BRONX,BRONX        ,7.156,0,0,0,0,0,0,0,0,2015,Jul,Sept
BEACH 30TH STREET PLAYGROUND,QUEENS       ,7.122,0,0,0,0,0,0,0,0,2015,Jul,Sept
BROWER PARK,BROOKLYN     ,7.047,0,0,0,3,0,0,0,3,2015,Jul,Sept
JOYCE KILMER PARK,BRONX        ,6.882,0,0,1,0,0,1,0,2,2015,Jul,Sept
MARIA HERNANDEZ PARK,BROOKLYN     ,6.873,0,0,3,3,0,2,0,8,2015,Jul,Sept
THE HIGH LINE,MANHATTAN    ,6.73,0,0,0,0,0,1,0,1,2015,Jul,Sept
FRIENDS FIELD,BROOKLYN     ,6.7,0,0,0,0,0,0,0,0,2015,Jul,Sept
LINDOWER PARK,BROOKLYN     ,6.7,0,0,0,0,0,0,0,0,2015,Jul,Sept
J. HOOD WRIGHT PARK,MANHATTAN    ,6.699,0,0,1,0,0,0,0,1,2015,Jul,Sept
WNYC TRANSMITTER PARK,BROOKLYN     ,6.611,0,0,0,0,0,0,0,0,2015,Jul,Sept
SPUYTEN DUYVIL SHOREFRONT PARK,BRONX        ,6.6,0,0,0,0,0,0,0,0,2015,Jul,Sept
PARK AVENUE MALLS,MANHATTAN    ,6.593,0,0,0,0,0,0,0,0,2015,Jul,Sept
WESTWOOD PARK,STATEN ISLAND,6.563,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNION SQUARE PARK,MANHATTAN    ,6.51,0,0,0,1,0,3,1,5,2015,Jul,Sept
CONCRETE PLANT PARK,BRONX        ,6.438,0,1,0,0,0,0,0,1,2015,Jul,Sept
COL. YOUNG PLAYGROUND,MANHATTAN    ,6.423,0,0,2,0,0,0,0,2,2015,Jul,Sept
BRADYS POND PARK,STATEN ISLAND,6.402,0,0,0,0,0,0,0,0,2015,Jul,Sept
COOPER PARK,BROOKLYN     ,6.401,0,0,1,0,0,0,0,1,2015,Jul,Sept
GRAVESEND PARK,BROOKLYN     ,6.379,0,0,0,0,0,0,0,0,2015,Jul,Sept
DR. CHARLES R. DREW PARK,QUEENS       ,6.336,0,0,0,0,0,0,0,0,2015,Jul,Sept
TRINITY PARK,BROOKLYN     ,6.3,0,0,0,0,0,0,0,0,2015,Jul,Sept
MADISON SQUARE PARK,MANHATTAN    ,6.234,0,0,1,0,0,1,0,2,2015,Jul,Sept
ELMHURST PARK,QUEENS       ,6.219,0,0,0,0,0,0,0,0,2015,Jul,Sept
FORT HAMILTON ATHLETIC FIELD,BROOKLYN     ,6.194,0,0,0,0,0,0,0,0,2015,Jul,Sept
AMBROSINI FIELD,BRONX        ,6.1,0,0,0,0,0,0,0,0,2015,Jul,Sept
CLEARVIEW PARK,QUEENS       ,6.05,0,0,0,0,0,0,0,0,2015,Jul,Sept
RALPH DEMARCO PARK,QUEENS       ,6.03,0,0,0,0,0,0,0,0,2015,Jul,Sept
WINGATE PARK,BROOKLYN     ,5.888,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,STATEN ISLAND,5.848,0,0,0,0,0,0,0,0,2015,Jul,Sept
DE WITT CLINTON PARK,MANHATTAN    ,5.829,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNNAMED PARK ON BOUNDARY AVENUE,STATEN ISLAND,5.765,0,0,0,0,0,0,0,0,2015,Jul,Sept
VAN VOORHEES PARK,BROOKLYN     ,5.739,0,0,0,0,0,0,0,0,2015,Jul,Sept
HALLETS COVE PLAYGROUND,QUEENS       ,5.7,0,0,0,0,0,0,0,0,2015,Jul,Sept
MCKINLEY PARK,BROOKLYN     ,5.655,0,0,0,0,0,1,0,1,2015,Jul,Sept
SOUTHERN FIELDS,QUEENS       ,5.593,0,0,0,0,0,0,0,0,2015,Jul,Sept
DEVOE PARK,BRONX        ,5.44,0,0,1,0,0,0,0,1,2015,Jul,Sept
ST. MICHAEL'S PLAYGROUND,QUEENS       ,5.43,0,0,0,0,0,0,0,0,2015,Jul,Sept
KENNEDY PLAYGROUND,QUEENS       ,5.4,0,0,0,0,0,0,0,0,2015,Jul,Sept
MAFERA PARK,QUEENS       ,5.4,0,0,0,0,0,1,0,1,2015,Jul,Sept
SEAGIRT AVE WETLANDS,QUEENS       ,5.323,0,0,0,0,0,0,0,0,2015,Jul,Sept
JOHN PAUL JONES PARK,BROOKLYN     ,5.317,0,0,0,0,0,0,0,0,2015,Jul,Sept
WALKER PARK,STATEN ISLAND,5.278,0,0,0,0,0,0,0,0,2015,Jul,Sept
OLD PLACE CREEK PARK,STATEN ISLAND,5.233,0,0,0,0,0,0,0,0,2015,Jul,Sept
HOOVER - MANTON PLAYGROUNDS,QUEENS       ,5.2,0,0,0,0,0,0,0,0,2015,Jul,Sept
GEN. DOUGLAS MACARTHUR PARK,STATEN ISLAND,5.165,0,0,0,0,0,0,0,0,2015,Jul,Sept
GROVER CLEVELAND PLAYGROUND,QUEENS       ,5.1,0,0,0,0,0,0,0,0,2015,Jul,Sept
POLICE OFFICER EDWARD BYRNE PARK,QUEENS       ,4.966,0,0,0,0,0,0,0,0,2015,Jul,Sept
CYPRESS HILLS PLAYGROUND,BROOKLYN     ,4.947,0,0,1,0,0,0,0,1,2015,Jul,Sept
SETH LOW PLAYGROUND/ BEALIN SQUARE,BROOKLYN     ,4.945,0,0,1,0,0,0,0,1,2015,Jul,Sept
KELLY PARK,BROOKLYN     ,4.896,0,0,2,0,0,0,0,2,2015,Jul,Sept
SOCRATES SCULPTURE PARK,QUEENS       ,4.893,0,0,0,0,0,0,0,0,2015,Jul,Sept
BEACH 9 PLAYGROUND,QUEENS       ,4.863,0,0,0,0,0,0,0,0,2015,Jul,Sept
SOUTH BEACH WETLANDS,STATEN ISLAND,4.794,0,0,0,0,0,0,0,0,2015,Jul,Sept
NAPLES PLAYGROUND,STATEN ISLAND,4.784,0,0,0,0,0,0,0,0,2015,Jul,Sept
RAOUL WALLENBERG FOREST,BRONX        ,4.73,0,0,0,0,0,0,0,0,2015,Jul,Sept
WEST HARLEM PIERS,MANHATTAN    ,4.712,0,0,0,0,0,0,0,0,2015,Jul,Sept
SPORTS PARK,STATEN ISLAND,4.647,0,0,0,0,0,0,0,0,2015,Jul,Sept
WASHINGTON'S WALK,BRONX        ,4.637,0,0,0,0,0,0,0,0,2015,Jul,Sept
CAMBRIA PLAYGROUND,QUEENS       ,4.635,0,0,0,0,0,0,0,0,2015,Jul,Sept
MARCONI PARK,QUEENS       ,4.635,0,0,0,0,0,0,0,0,2015,Jul,Sept
VALENTINO PIER,BROOKLYN     ,4.525,0,0,0,0,0,0,0,0,2015,Jul,Sept
GRANITEVILLE QUARRY PARK,STATEN ISLAND,4.465,0,0,0,0,0,0,0,0,2015,Jul,Sept
MONTBELLIER PARK,QUEENS       ,4.427,0,0,0,0,0,0,0,0,2015,Jul,Sept
QUARRY BALLFIELDS,BRONX        ,4.417,0,0,0,0,0,0,0,0,2015,Jul,Sept
RICHMAN (ECHO) PARK,BRONX        ,4.385,0,0,0,0,0,0,0,0,2015,Jul,Sept
JEROME PARK,BRONX        ,4.359,0,0,0,0,0,0,0,0,2015,Jul,Sept
CORLEARS HOOK PARK,MANHATTAN    ,4.355,0,0,0,0,0,0,0,0,2015,Jul,Sept
"PHIL ""SCOOTER"" RIZZUTO PARK",QUEENS       ,4.353,0,0,0,0,0,0,0,0,2015,Jul,Sept
ASPHALT GREEN,MANHATTAN    ,4.35,0,0,0,0,0,0,0,0,2015,Jul,Sept
FABER POOL AND PARK,STATEN ISLAND,4.339,0,0,0,0,0,0,0,0,2015,Jul,Sept
MACHATE CIRCLE,BROOKLYN     ,4.32,0,0,0,0,0,0,0,0,2015,Jul,Sept
HAMILTON FISH PARK,MANHATTAN    ,4.3,0,0,0,0,0,0,0,0,2015,Jul,Sept
TIFFANY STREET PIER,BRONX        ,4.231,0,0,0,0,0,0,0,0,2015,Jul,Sept
KINGDOM POND PARK,STATEN ISLAND,4.22,0,0,0,0,0,0,0,0,2015,Jul,Sept
COLUMBUS PARK BROOKLYN,BROOKLYN     ,4.14,0,0,0,0,0,0,0,0,2015,Jul,Sept
STAPLETON PLAYGROUND,STATEN ISLAND,4.096,0,0,0,0,0,0,0,0,2015,Jul,Sept
STERNBERG PARK,BROOKLYN     ,4.044,0,0,0,0,0,1,0,1,2015,Jul,Sept
COLUCCI PLAYGROUND,BRONX        ,4,0,0,0,0,0,0,0,0,2015,Jul,Sept
NORTHERLEIGH PARK,STATEN ISLAND,3.955,0,0,0,1,0,0,0,1,2015,Jul,Sept
STUYVESANT SQUARE,MANHATTAN    ,3.928,0,0,0,0,0,0,0,0,2015,Jul,Sept
LAST CHANCE POND PARK,STATEN ISLAND,3.903,0,0,0,0,0,0,0,0,2015,Jul,Sept
CHELSEA PARK,MANHATTAN    ,3.9,0,0,1,0,0,2,0,3,2015,Jul,Sept
FORDHAM LANDING PLAYGROUND,BRONX        ,3.9,0,0,0,0,0,0,0,0,2015,Jul,Sept
NORTH 5TH STREET PIER AND PARK,BROOKLYN     ,3.882,0,0,0,0,0,0,0,0,2015,Jul,Sept
HAGGERTY PARK,QUEENS       ,3.867,0,0,0,0,0,1,0,1,2015,Jul,Sept
JACOB H. SCHIFF PLAYGROUND,MANHATTAN    ,3.852,0,0,1,1,0,0,0,2,2015,Jul,Sept
GRANT PARK,BRONX        ,3.85,0,0,1,0,0,0,0,1,2015,Jul,Sept
EAST ELMHURST PLAYGROUND,QUEENS       ,3.827,0,0,0,0,0,0,0,0,2015,Jul,Sept
JOSEPH AUSTIN PLAYGROUND,QUEENS       ,3.814,0,0,1,0,0,0,0,1,2015,Jul,Sept
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,QUEENS       ,3.809,0,0,0,0,0,0,0,0,2015,Jul,Sept
LINCOLN CENTER PLAZA,MANHATTAN    ,3.8,0,0,0,0,0,0,0,0,2015,Jul,Sept
INGRAM WOODS,STATEN ISLAND,3.77,0,0,0,0,0,0,0,0,2015,Jul,Sept
FARM PLAYGROUND,QUEENS       ,3.757,0,0,0,0,0,0,0,0,2015,Jul,Sept
HINTON PARK,QUEENS       ,3.735,0,0,0,0,0,0,0,0,2015,Jul,Sept
LOUIS PASTEUR PARK,QUEENS       ,3.673,0,0,0,0,0,0,0,0,2015,Jul,Sept
WHITEY FORD FIELD,QUEENS       ,3.622,0,0,0,0,0,0,0,0,2015,Jul,Sept
POMONOK PLAYGROUND,QUEENS       ,3.596,0,0,0,0,0,0,0,0,2015,Jul,Sept
CLAWSON PLAYGROUND,STATEN ISLAND,3.593,0,0,0,0,0,0,0,0,2015,Jul,Sept
BENNETT REST,MANHATTAN    ,3.567,0,0,0,0,0,0,0,0,2015,Jul,Sept
GOVERNOR SMITH PLAYGROUND,BRONX        ,3.564,0,0,0,0,0,0,0,0,2015,Jul,Sept
PAERDEGAT PARK,BROOKLYN     ,3.56,0,0,0,2,0,0,0,2,2015,Jul,Sept
AMERSFORT PARK,BROOKLYN     ,3.557,0,0,0,0,0,0,0,0,2015,Jul,Sept
CITY LINE PARK,BROOKLYN     ,3.552,0,0,0,0,0,0,0,0,2015,Jul,Sept
BAILEY PLAYGROUND,BRONX        ,3.533,0,0,0,0,0,0,0,0,2015,Jul,Sept
NAUTILUS PLAYGROUND QUEENS,QUEENS       ,3.52,0,0,0,0,0,0,0,0,2015,Jul,Sept
VINMONT VETERAN PARK,BRONX        ,3.5,0,0,0,0,0,0,0,0,2015,Jul,Sept
MCDONALD PLAYGROUND BROOKLYN,BROOKLYN     ,3.485,0,0,0,0,0,0,0,0,2015,Jul,Sept
THE OLDE TOWNE OF FLUSHING BURIAL GROUND,QUEENS       ,3.474,0,0,0,0,0,0,0,0,2015,Jul,Sept
WEGENER PARK,STATEN ISLAND,3.464,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,QUEENS       ,3.43,0,0,0,0,0,0,0,0,2015,Jul,Sept
JULIO CARBALLO FIELDS,BRONX        ,3.428,0,0,0,0,0,0,0,0,2015,Jul,Sept
GRADY PLAYGROUND,BROOKLYN     ,3.403,0,0,0,0,0,0,0,0,2015,Jul,Sept
BREININGER PARK,QUEENS       ,3.4,0,0,0,0,0,0,0,0,2015,Jul,Sept
CO-OP CITY FIELD,BRONX        ,3.4,0,0,0,0,0,0,0,0,2015,Jul,Sept
ST. MICHAEL'S PARK,QUEENS       ,3.4,0,0,0,0,0,1,0,1,2015,Jul,Sept
GREENWOOD PLAYGROUND,BROOKLYN     ,3.39,0,0,0,0,0,0,0,0,2015,Jul,Sept
ST. ANDREW'S PLAYGROUND,BROOKLYN     ,3.38,0,0,0,0,0,0,0,0,2015,Jul,Sept
SEWARD PARK,MANHATTAN    ,3.361,0,0,0,0,0,2,0,2,2015,Jul,Sept
BEHAGEN PLAYGROUND,BRONX        ,3.348,0,0,0,0,0,0,0,0,2015,Jul,Sept
DUGAN PLAYGROUND,STATEN ISLAND,3.333,0,0,0,0,0,0,0,0,2015,Jul,Sept
EVERGREEN PARK,QUEENS       ,3.32,0,0,0,0,0,0,0,0,2015,Jul,Sept
JOHN JAY PARK,MANHATTAN    ,3.312,0,0,0,1,0,0,0,1,2015,Jul,Sept
UNIVERSITY WOODS,BRONX        ,3.306,0,0,0,0,0,0,0,0,2015,Jul,Sept
WATSON GLEASON PLAYGROUND,BRONX        ,3.301,0,0,1,1,0,3,0,5,2015,Jul,Sept
TOTTENVILLE POOL,STATEN ISLAND,3.259,0,0,0,0,0,0,0,0,2015,Jul,Sept
VITO LOCASCIO FIELD,QUEENS       ,3.258,0,0,0,0,0,0,0,0,2015,Jul,Sept
CALLAHAN-KELLY PLAYGROUND,BROOKLYN     ,3.253,0,0,0,0,0,0,0,0,2015,Jul,Sept
JUDGE MOSES WEINSTEIN PLAYGROUND,QUEENS       ,3.25,0,0,0,0,0,0,0,0,2015,Jul,Sept
COLUMBUS PARK AT MANHATTAN,MANHATTAN    ,3.233,0,0,0,0,0,0,0,0,2015,Jul,Sept
GREENCROFT PLAYGROUND,STATEN ISLAND,3.23,0,0,0,0,0,0,0,0,2015,Jul,Sept
BILL BROWN PLAYGROUND,BROOKLYN     ,3.214,0,0,0,0,0,0,0,0,2015,Jul,Sept
SARATOGA PARK,BROOKLYN     ,3.214,0,0,0,0,0,1,0,1,2015,Jul,Sept
SCARANGELLA PARK,BROOKLYN     ,3.214,0,0,0,0,0,0,0,0,2015,Jul,Sept
JAMAICA PLAYGROUND,QUEENS       ,3.21,0,0,0,0,0,1,0,1,2015,Jul,Sept
NOBLE PLAYGROUND,BRONX        ,3.21,0,0,0,0,0,0,0,0,2015,Jul,Sept
MARCY PLAYGROUND,BROOKLYN     ,3.201,0,0,0,0,0,0,0,0,2015,Jul,Sept
LYONS POOL,STATEN ISLAND,3.195,0,0,0,0,0,1,0,1,2015,Jul,Sept
WAYANDA PARK,QUEENS       ,3.17,0,0,0,0,0,0,0,0,2015,Jul,Sept
AMERICAN VETERANS MEMORIAL PIER,BROOKLYN     ,3.169,0,0,0,0,0,0,0,0,2015,Jul,Sept
HOLCOMBE RUCKER PARK,MANHATTAN    ,3.125,0,0,0,0,0,0,0,0,2015,Jul,Sept
JESSE OWENS PLAYGROUND,BROOKLYN     ,3.1,0,0,0,0,0,0,0,0,2015,Jul,Sept
EAST RIVER WALK,MANHATTAN    ,3.089,0,0,0,0,0,0,0,0,2015,Jul,Sept
PARK OF THE AMERICAS,QUEENS       ,3.076,0,0,0,2,0,0,0,2,2015,Jul,Sept
BROOKLYN HEIGHTS PROMENADE,BROOKLYN     ,3.035,0,0,0,0,0,0,0,0,2015,Jul,Sept
J.J. BYRNE PLAYGROUND,BROOKLYN     ,3.03,0,0,0,0,0,0,0,0,2015,Jul,Sept
HERO PARK,STATEN ISLAND,3.024,0,0,0,0,0,0,0,0,2015,Jul,Sept
NOSTRAND PLAYGROUND,BROOKLYN     ,3.023,0,0,0,0,0,0,0,0,2015,Jul,Sept
FORT INDEPENDENCE PLAYGROUND,BRONX        ,3.02,0,0,0,0,0,0,0,0,2015,Jul,Sept
BROWNSVILLE PLAYGROUND,BROOKLYN     ,3.017,0,0,0,1,0,0,0,1,2015,Jul,Sept
GRANDVIEW PLAYGROUND,STATEN ISLAND,3.014,0,0,0,0,0,0,0,0,2015,Jul,Sept
LAWRENCE VIRGILIO PLAYGROUND,QUEENS       ,3.009,0,0,0,0,0,0,0,0,2015,Jul,Sept
JACOB JOFFE FIELDS,BROOKLYN     ,2.984,0,0,0,0,0,0,0,0,2015,Jul,Sept
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,BROOKLYN     ,2.982,0,0,0,0,0,0,0,0,2015,Jul,Sept
UTOPIA PLAYGROUND,QUEENS       ,2.98,0,0,0,0,0,0,0,0,2015,Jul,Sept
BATH BEACH PARK,BROOKLYN     ,2.964,0,0,0,0,0,0,0,0,2015,Jul,Sept
GLEN OAKS OVAL,QUEENS       ,2.948,0,0,0,0,0,0,0,0,2015,Jul,Sept
MERRIAM PLAYGROUND,BRONX        ,2.944,0,0,0,0,0,0,0,0,2015,Jul,Sept
POSEIDON PLAYGROUND,BROOKLYN     ,2.944,0,0,0,0,0,0,0,0,2015,Jul,Sept
ROBERT E. VENABLE PARK,BROOKLYN     ,2.939,0,0,0,0,0,0,0,0,2015,Jul,Sept
LEFFERTS PLAYGROUND,QUEENS       ,2.937,0,0,0,0,0,0,0,0,2015,Jul,Sept
WALT WHITMAN PARK,BROOKLYN     ,2.913,0,0,0,0,0,0,0,0,2015,Jul,Sept
WESTERLEIGH PARK,STATEN ISLAND,2.889,0,0,0,0,0,0,0,0,2015,Jul,Sept
PETERS FIELD,QUEENS       ,2.872,0,0,0,0,0,0,0,0,2015,Jul,Sept
DELPHIN H. GREENE PLAYGROUND,QUEENS       ,2.861,0,0,0,0,0,0,0,0,2015,Jul,Sept
HOFFMAN PARK,QUEENS       ,2.857,0,0,0,0,0,0,0,0,2015,Jul,Sept
MARKHAM PLAYGROUND,STATEN ISLAND,2.836,0,0,0,0,0,0,0,0,2015,Jul,Sept
SPERANDEO BROTHERS PLAYGROUND,BROOKLYN     ,2.799,0,0,0,0,0,0,0,0,2015,Jul,Sept
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,BROOKLYN     ,2.783,0,0,2,1,0,0,0,3,2015,Jul,Sept
IRVING SQUARE PARK,BROOKLYN     ,2.76,0,0,0,0,0,0,0,0,2015,Jul,Sept
ST. VARTAN PARK,MANHATTAN    ,2.759,0,0,0,0,0,0,0,0,2015,Jul,Sept
RAVENSWOOD PLAYGROUND,QUEENS       ,2.758,0,0,0,0,0,0,0,0,2015,Jul,Sept
GORMAN PLAYGROUND,QUEENS       ,2.755,0,0,0,0,0,1,0,1,2015,Jul,Sept
LOUIS CUVILLIER PARK,MANHATTAN    ,2.752,0,0,0,0,0,0,0,0,2015,Jul,Sept
GRACE PLAYGROUND,BROOKLYN     ,2.744,0,0,0,0,0,0,0,0,2015,Jul,Sept
GREEN CENTRAL KNOLL,BROOKLYN     ,2.741,0,0,0,0,0,0,0,0,2015,Jul,Sept
DETECTIVE WILLIAM T. GUNN PARK,QUEENS       ,2.719,0,0,0,0,0,0,0,0,2015,Jul,Sept
HOLY COW PLAYGROUND,QUEENS       ,2.7,0,0,0,0,0,0,0,0,2015,Jul,Sept
BAYSIDE FIELDS,QUEENS       ,2.69,0,0,0,0,0,0,0,0,2015,Jul,Sept
